instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,season_label,weather_label,weekday_name,year_label,temp_c,hum_pct
1,2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,Spring,Berkabut,Minggu,2011,14.110847,80.58330000000001
2,2011-01-02,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,Spring,Berkabut,Senin,2011,14.902598000000001,69.6087
3,2011-01-03,1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,Spring,Cerah/Berawan,Selasa,2011,8.050924,43.7273
4,2011-01-04,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,Spring,Cerah/Berawan,Rabu,2011,8.200000000000001,59.0435
5,2011-01-05,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,Spring,Cerah/Berawan,Kamis,2011,9.305237,43.695699999999995
6,2011-01-06,1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,Spring,Cerah/Berawan,Jumat,2011,8.378268,51.8261
7,2011-01-07,1,0,1,0,5,1,2,0.196522,0.208839,0.498696,0.168726,148,1362,1510,Spring,Berkabut,Sabtu,2011,8.057402,49.8696
8,2011-01-08,1,0,1,0,6,0,2,0.165,0.162254,0.535833,0.266804,68,891,959,Spring,Berkabut,Minggu,2011,6.765000000000001,53.5833
9,2011-01-09,1,0,1,0,0,0,1,0.138333,0.116175,0.434167,0.36195,54,768,822,Spring,Cerah/Berawan,Senin,2011,5.671653,43.416700000000006
10,2011-01-10,1,0,1,0,1,1,1,0.150833,0.150888,0.482917,0.223267,41,1280,1321,Spring,Cerah/Berawan,Selasa,2011,6.184153,48.2917
11,2011-01-11,1,0,1,0,2,1,2,0.169091,0.191464,0.686364,0.122132,43,1220,1263,Spring,Berkabut,Rabu,2011,6.9327309999999995,68.6364
12,2011-01-12,1,0,1,0,3,1,1,0.172727,0.160473,0.599545,0.304627,25,1137,1162,Spring,Cerah/Berawan,Kamis,2011,7.0818069999999995,59.954499999999996
13,2011-01-13,1,0,1,0,4,1,1,0.165,0.150883,0.470417,0.301,38,1368,1406,Spring,Cerah/Berawan,Jumat,2011,6.765000000000001,47.0417
14,2011-01-14,1,0,1,0,5,1,1,0.16087,0.188413,0.537826,0.126548,54,1367,1421,Spring,Cerah/Berawan,Sabtu,2011,6.59567,53.7826
15,2011-01-15,1,0,1,0,6,0,2,0.233333,0.248112,0.49875,0.157963,222,1026,1248,Spring,Berkabut,Minggu,2011,9.566653,49.875
16,2011-01-16,1,0,1,0,0,0,1,0.231667,0.234217,0.48375,0.188433,251,953,1204,Spring,Cerah/Berawan,Senin,2011,9.498347,48.375
17,2011-01-17,1,0,1,1,1,0,2,0.175833,0.176771,0.5375,0.194017,117,883,1000,Spring,Berkabut,Selasa,2011,7.209153,53.75
18,2011-01-18,1,0,1,0,2,1,2,0.216667,0.232333,0.861667,0.146775,9,674,683,Spring,Berkabut,Rabu,2011,8.883347,86.16669999999999
19,2011-01-19,1,0,1,0,3,1,2,0.292174,0.298422,0.741739,0.208317,78,1572,1650,Spring,Berkabut,Kamis,2011,11.979134,74.1739
20,2011-01-20,1,0,1,0,4,1,2,0.261667,0.25505,0.538333,0.195904,83,1844,1927,Spring,Berkabut,Jumat,2011,10.728347,53.833299999999994
21,2011-01-21,1,0,1,0,5,1,1,0.1775,0.157833,0.457083,0.353242,75,1468,1543,Spring,Cerah/Berawan,Sabtu,2011,7.2775,45.7083
22,2011-01-22,1,0,1,0,6,0,1,0.0591304,0.0790696,0.4,0.17197,93,888,981,Spring,Cerah/Berawan,Minggu,2011,2.4243464,40.0
23,2011-01-23,1,0,1,0,0,0,1,0.0965217,0.0988391,0.436522,0.2466,150,836,986,Spring,Cerah/Berawan,Senin,2011,3.9573897000000002,43.6522
24,2011-01-24,1,0,1,0,1,1,1,0.0973913,0.11793,0.491739,0.15833,86,1330,1416,Spring,Cerah/Berawan,Selasa,2011,3.9930433,49.173899999999996
25,2011-01-25,1,0,1,0,2,1,2,0.223478,0.234526,0.616957,0.129796,186,1799,1985,Spring,Berkabut,Rabu,2011,9.162598000000001,61.695699999999995
26,2011-01-26,1,0,1,0,3,1,3,0.2175,0.2036,0.8625,0.29385,34,472,506,Spring,Hujan Ringan/Salju,Kamis,2011,8.9175,86.25
27,2011-01-27,1,0,1,0,4,1,1,0.195,0.2197,0.6875,0.113837,15,416,431,Spring,Cerah/Berawan,Jumat,2011,7.995,68.75
28,2011-01-28,1,0,1,0,5,1,2,0.203478,0.223317,0.793043,0.1233,38,1129,1167,Spring,Berkabut,Sabtu,2011,8.342597999999999,79.30430000000001
29,2011-01-29,1,0,1,0,6,0,1,0.196522,0.212126,0.651739,0.145365,123,975,1098,Spring,Cerah/Berawan,Minggu,2011,8.057402,65.17389999999999
30,2011-01-30,1,0,1,0,0,0,1,0.216522,0.250322,0.722174,0.0739826,140,956,1096,Spring,Cerah/Berawan,Senin,2011,8.877402,72.2174
31,2011-01-31,1,0,1,0,1,1,2,0.180833,0.18625,0.60375,0.187192,42,1459,1501,Spring,Berkabut,Selasa,2011,7.414153,60.375
32,2011-02-01,1,0,2,0,2,1,2,0.192174,0.23453,0.829565,0.053213,47,1313,1360,Spring,Berkabut,Rabu,2011,7.8791340000000005,82.9565
33,2011-02-02,1,0,2,0,3,1,2,0.26,0.254417,0.775417,0.264308,72,1454,1526,Spring,Berkabut,Kamis,2011,10.66,77.5417
34,2011-02-03,1,0,2,0,4,1,1,0.186957,0.177878,0.437826,0.277752,61,1489,1550,Spring,Cerah/Berawan,Jumat,2011,7.665237,43.7826
35,2011-02-04,1,0,2,0,5,1,2,0.211304,0.228587,0.585217,0.127839,88,1620,1708,Spring,Berkabut,Sabtu,2011,8.663464,58.521699999999996
36,2011-02-05,1,0,2,0,6,0,2,0.233333,0.243058,0.929167,0.161079,100,905,1005,Spring,Berkabut,Minggu,2011,9.566653,92.91669999999999
37,2011-02-06,1,0,2,0,0,0,1,0.285833,0.291671,0.568333,0.1418,354,1269,1623,Spring,Cerah/Berawan,Senin,2011,11.719153,56.833299999999994
38,2011-02-07,1,0,2,0,1,1,1,0.271667,0.303658,0.738333,0.0454083,120,1592,1712,Spring,Cerah/Berawan,Selasa,2011,11.138347,73.83330000000001
39,2011-02-08,1,0,2,0,2,1,1,0.220833,0.198246,0.537917,0.36195,64,1466,1530,Spring,Cerah/Berawan,Rabu,2011,9.054153,53.7917
40,2011-02-09,1,0,2,0,3,1,2,0.134783,0.144283,0.494783,0.188839,53,1552,1605,Spring,Berkabut,Kamis,2011,5.526102999999999,49.4783
41,2011-02-10,1,0,2,0,4,1,1,0.144348,0.149548,0.437391,0.221935,47,1491,1538,Spring,Cerah/Berawan,Jumat,2011,5.918268,43.7391
42,2011-02-11,1,0,2,0,5,1,1,0.189091,0.213509,0.506364,0.10855,149,1597,1746,Spring,Cerah/Berawan,Sabtu,2011,7.752731000000001,50.6364
43,2011-02-12,1,0,2,0,6,0,1,0.2225,0.232954,0.544167,0.203367,288,1184,1472,Spring,Cerah/Berawan,Minggu,2011,9.1225,54.4167
44,2011-02-13,1,0,2,0,0,0,1,0.316522,0.324113,0.457391,0.260883,397,1192,1589,Spring,Cerah/Berawan,Senin,2011,12.977402000000001,45.7391
45,2011-02-14,1,0,2,0,1,1,1,0.415,0.39835,0.375833,0.417908,208,1705,1913,Spring,Cerah/Berawan,Selasa,2011,17.015,37.583299999999994
46,2011-02-15,1,0,2,0,2,1,1,0.266087,0.254274,0.314348,0.291374,140,1675,1815,Spring,Cerah/Berawan,Rabu,2011,10.909567000000001,31.434800000000003
47,2011-02-16,1,0,2,0,3,1,1,0.318261,0.3162,0.423478,0.251791,218,1897,2115,Spring,Cerah/Berawan,Kamis,2011,13.048701000000001,42.3478
48,2011-02-17,1,0,2,0,4,1,1,0.435833,0.428658,0.505,0.230104,259,2216,2475,Spring,Cerah/Berawan,Jumat,2011,17.869153,50.5
49,2011-02-18,1,0,2,0,5,1,1,0.521667,0.511983,0.516667,0.264925,579,2348,2927,Spring,Cerah/Berawan,Sabtu,2011,21.388347,51.6667
50,2011-02-19,1,0,2,0,6,0,1,0.399167,0.391404,0.187917,0.507463,532,1103,1635,Spring,Cerah/Berawan,Minggu,2011,16.365847,18.7917
51,2011-02-20,1,0,2,0,0,0,1,0.285217,0.27733,0.407826,0.223235,639,1173,1812,Spring,Cerah/Berawan,Senin,2011,11.693897,40.7826
52,2011-02-21,1,0,2,1,1,0,2,0.303333,0.284075,0.605,0.307846,195,912,1107,Spring,Berkabut,Selasa,2011,12.436653000000002,60.5
53,2011-02-22,1,0,2,0,2,1,1,0.182222,0.186033,0.577778,0.195683,74,1376,1450,Spring,Cerah/Berawan,Rabu,2011,7.471102,57.7778
54,2011-02-23,1,0,2,0,3,1,1,0.221739,0.245717,0.423043,0.094113,139,1778,1917,Spring,Cerah/Berawan,Kamis,2011,9.091299,42.3043
55,2011-02-24,1,0,2,0,4,1,2,0.295652,0.289191,0.697391,0.250496,100,1707,1807,Spring,Berkabut,Jumat,2011,12.121732000000002,69.7391
56,2011-02-25,1,0,2,0,5,1,2,0.364348,0.350461,0.712174,0.346539,120,1341,1461,Spring,Berkabut,Sabtu,2011,14.938268,71.2174
57,2011-02-26,1,0,2,0,6,0,1,0.2825,0.282192,0.537917,0.186571,424,1545,1969,Spring,Cerah/Berawan,Minggu,2011,11.5825,53.7917
58,2011-02-27,1,0,2,0,0,0,1,0.343478,0.351109,0.68,0.125248,694,1708,2402,Spring,Cerah/Berawan,Senin,2011,14.082598,68.0
59,2011-02-28,1,0,2,0,1,1,2,0.407273,0.400118,0.876364,0.289686,81,1365,1446,Spring,Berkabut,Selasa,2011,16.698193,87.63640000000001
60,2011-03-01,1,0,3,0,2,1,1,0.266667,0.263879,0.535,0.216425,137,1714,1851,Spring,Cerah/Berawan,Rabu,2011,10.933347,53.5
61,2011-03-02,1,0,3,0,3,1,1,0.335,0.320071,0.449583,0.307833,231,1903,2134,Spring,Cerah/Berawan,Kamis,2011,13.735000000000001,44.9583
62,2011-03-03,1,0,3,0,4,1,1,0.198333,0.200133,0.318333,0.225754,123,1562,1685,Spring,Cerah/Berawan,Jumat,2011,8.131653,31.833299999999998
63,2011-03-04,1,0,3,0,5,1,2,0.261667,0.255679,0.610417,0.203346,214,1730,1944,Spring,Berkabut,Sabtu,2011,10.728347,61.0417
64,2011-03-05,1,0,3,0,6,0,2,0.384167,0.378779,0.789167,0.251871,640,1437,2077,Spring,Berkabut,Minggu,2011,15.750846999999998,78.91669999999999
65,2011-03-06,1,0,3,0,0,0,2,0.376522,0.366252,0.948261,0.343287,114,491,605,Spring,Berkabut,Senin,2011,15.437402,94.8261
66,2011-03-07,1,0,3,0,1,1,1,0.261739,0.238461,0.551304,0.341352,244,1628,1872,Spring,Cerah/Berawan,Selasa,2011,10.731299,55.1304
67,2011-03-08,1,0,3,0,2,1,1,0.2925,0.3024,0.420833,0.12065,316,1817,2133,Spring,Cerah/Berawan,Rabu,2011,11.9925,42.0833
68,2011-03-09,1,0,3,0,3,1,2,0.295833,0.286608,0.775417,0.22015,191,1700,1891,Spring,Berkabut,Kamis,2011,12.129153,77.5417
69,2011-03-10,1,0,3,0,4,1,3,0.389091,0.385668,0.0,0.261877,46,577,623,Spring,Hujan Ringan/Salju,Jumat,2011,15.952731,0.0
70,2011-03-11,1,0,3,0,5,1,2,0.316522,0.305,0.649565,0.23297,247,1730,1977,Spring,Berkabut,Sabtu,2011,12.977402000000001,64.95649999999999
71,2011-03-12,1,0,3,0,6,0,1,0.329167,0.32575,0.594583,0.220775,724,1408,2132,Spring,Cerah/Berawan,Minggu,2011,13.495847,59.458299999999994
72,2011-03-13,1,0,3,0,0,0,1,0.384348,0.380091,0.527391,0.270604,982,1435,2417,Spring,Cerah/Berawan,Senin,2011,15.758268000000001,52.73910000000001
73,2011-03-14,1,0,3,0,1,1,1,0.325217,0.332,0.496957,0.136926,359,1687,2046,Spring,Cerah/Berawan,Selasa,2011,13.333896999999999,49.695699999999995
